Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
Chetan Dave,chetan,dave,Three Very Simple Games (And What It Takes to Solve Them),No,,,,,,,FALSE,,FALSE,
Chew Soo Hong,chew,hong,Neuro entrepreneurship: The hormones of a successful entrepreneur & corporate leader,No,,,,,,,FALSE,,FALSE,
Chi Cui,chi,cui,"""Exploring the demand for fertility treatments: a revealed-preference experiment""",No,,,,,,,FALSE,,FALSE,
Chi Sheh,chi,sheh,“Effects of Policy Shocks on Bribery: Experimental Evidence from the US and Pakistan”,No,,,,,,,FALSE,,FALSE,
Chi Trieu,chi,trieu,“Secondary Markets and the Opioid Crisis: Evidence from a Laboratory Experiment”,No,,,,,,,FALSE,,FALSE,
Chia-Lin Lee,chia-lin,lee,"Dictates, Ultimatums and Spousal Empowerment in Rural India",No,,,,,,,FALSE,,FALSE,
Chia-Yang Lin,chia-yang,lin,“Conscience Accounting”,No,,,,,,,FALSE,,FALSE,
Chiara Aina,chiara,aina,"""Contingent Belief Updating""",No,,,,,,,FALSE,,FALSE,
Chiara Nardi,chiara,nardi,"""Multilateralism Paradox of Network in Bargaining""",No,,,,,,,FALSE,,FALSE,
Chiara Rapallini,chiara,rapallini,Dynamic VCM with Stock Accumulation,No,,,,,,,FALSE,,FALSE,
Chien-Yu Lai,chien-yu,lai,"""Estimating repugnance toward price gouging with incentivized consumer reports""",No,,,,,,,FALSE,,FALSE,
ChienHsun Lin,chienhsun,lin,"""Present Bias in Choices over Food and Money: Evidence from an Artefactual Field Experiment""",No,,,,,,,FALSE,,FALSE,
Chikako Yamauchi,chikako,yamauchi,Does Reputation Make Cognitive Biases Disappear? The Linda Problem on Facebook and Mechanical Turk,No,,,,,,,FALSE,,FALSE,
Chinn-Ping Fan,chinn-ping,fan,Tiered Housing Allocation: An Experimental Analysis,No,,,,,,,FALSE,,FALSE,
Chris Anderson,chris,anderson,People are Not Gambles: Dissociable Systems for Strategic Uncertainty and Risk in the Brain,No,,,,,,,FALSE,,FALSE,
Chris Wilson,chris,wilson,The Effects of Group Identity on Reporting Norm Deviants,No,,,,,,,FALSE,,FALSE,
Christian Alcocer,christian,alcocer,How to Design the Ask? Funding Units vs. Giving Money,No,,,,,,,FALSE,,FALSE,
Christian Biener,christian,biener,Revealed Heterogeneity in Risk Preference,No,,,,,,,FALSE,,FALSE,
Christian Hoenow,christian,hoenow,"""Boosting Recycling Behaviour Among Urban-Households in Peru -- A Field Experiment on the Role of Social Norms and Beliefs""",No,,,,,,,FALSE,,FALSE,
Christian Koch,christian,koch,"Against the Odds! The Tradeo"" Between Risk and Incentives is Alive and Well",No,,,,,,,FALSE,,FALSE,
Christian Koenig genannt Kersting,christian,kersting,"""Increasing the external validity of social preference games by reducing measurement error""",No,,,,,,,FALSE,,FALSE,
Christian König Genannt Kersting,christian,kersting,Preferences for Redistribution and Social Mobility: The Role of Motivated Beliefs,No,,,,,,,FALSE,,FALSE,
Christian König-Kersting,christian,könig-kersting,"""The St. Petersburg Gamble Revisited: Where is the Paradox?""",No,,,,,,,FALSE,,FALSE,
Christian Rojas,christian,rojas,"Emotions, Ambiguity and Advice among Small-scale Investors in China",No,,,,,,,FALSE,,FALSE,
Christian Zankiewicz,christian,zankiewicz,“What Happens to Risk Preferences when Interest Rates Fall? An Experimental Study”,No,,,,,,,FALSE,,FALSE,
Christian Zihlmann,christian,zihlmann,"""The effect of tax avoidance in voting decisions: a real-effort task experiment""",No,,,,,,,FALSE,,FALSE,
Christiane Schwieren,christiane,schwieren,“Customer Discrimination and Quality Signals: A Field Experiment with Healthcare Shoppers”,Yes,,,,,,,,,,
Christiane SCHWIEREN,christiane,schwieren,“Are Women More Context-dependent than Men? Gender Effects in Multiple Games”,Yes,,,,,,,,,,
Christina Gravert,christina,gravert,"""Borrowing in A Crisis: An Experimental Study of Asset-Backed Borrowing in a Financial Downturn""",No,,,,,,,FALSE,,FALSE,
Christina Strobel,christina,strobel,Who Benefits from Nudges for Exam Preparation? An Experiment,No,,,,,,,FALSE,,FALSE,
Christine BINZEL,christine,binzel,Road pricing and access burden avoidance: Evidence from an experiment with braess's Paradox,No,,,,,,,FALSE,,FALSE,
Christine Exley,christine,exley,"""Causes of inequality and the choice of enforcement in a voluntary contributions mechanism""",Yes,,,,,,,,,,
Christine Grimm,christine,grimm,"""Making Better Decisions in Financial Market- Human Forecaster vs. Algorithmic Forecaster""",No,,,,,,,FALSE,,FALSE,
Christine Harbring,christine,harbring,"""Lowering the Playing Field: Discrimination through Contrast Effects""",No,,,,,,,FALSE,,FALSE,
Christine HARBRING,christine,harbring,“Epistemic Conditions and Social Preferences in Trust Games”,No,,,,,,,FALSE,,FALSE,
Christoph Becker,christoph,becker,Does Communication Help to Coordinate on Early Adoption of New Technologies?,No,,,,,,,FALSE,,TRUE,
Christoph Brunner,christoph,brunner,Self Selection and Market Power in Risk Sharing Contracts,No,,,,,,,FALSE,,FALSE,
Christoph Buehren,christoph,buehren,"""Social Exclusion""",No,,,,,,,FALSE,,FALSE,
Christoph Drobner,christoph,drobner,,No,,,,,,,FALSE,,FALSE,
Christoph Huber,christoph,huber,Strategic Ignorance and Privacy—Would entertaining content trigger information avoidance?,Yes,,,,,,,,,,
Christoph Siemroth,christoph,siemroth,Contribution and Punishment Norms in Public Good Games Under Income Inequality from Nominal Choice,No,,,,,,,FALSE,,FALSE,
Christopher Anderson,christopher,anderson,“An Experimental Analysis of the Non-constant-sum Colonel Blotto Game.”,No,,,,,,,FALSE,,FALSE,
Christopher Brown,christopher,brown,Under pressure: the impact of women’s mental load on labor productivity and occupational choices. Evidence from Kenya,Yes,,,,,,,,,,
Chung K. KIM,chung,kim,Traders’ Expectations in Asset Markets: Experimental Evidence,No,,,,,,,FALSE,,FALSE,
Chung-Ching Tai,chung-ching,tai,On the Validity of (Cost-Saving) Randomization Methods in Dictator-Game Experiments: A Systematic Test,No,,,,,,,FALSE,,FALSE,
Chung-Yoon Choi,chung-yoon,choi,,Yes,,,,,,,,,,
Ciril Bosch Rosa,ciril,rosa,"""(Un)Willing to lead? Men, Women and the Leadership Gap""",No,,,,,,,FALSE,,FALSE,
Claire Mouminoux,claire,mouminoux,How to Motivate Students to Reduce Dormitory Electricity Use: A Field Experiment,No,,,,,,,FALSE,,FALSE,
Claire Rimbaud,claire,rimbaud,"""How to make a criminal: Antisocial Behavior after negative shocks""",No,,,,,,,FALSE,,FALSE,
Claudia Biniossek,claudia,biniossek,"Immigration, Poverty, and Demand for Redistribution: Causal Evidence from a Survey Experiment",No,,,,,,,FALSE,,FALSE,
Claudia Landeo,claudia,landeo,Shocks and Relationships,No,,,,,,,FALSE,,FALSE,
Claudia Zoller,claudia,zoller,Can intergroup contact increase cooperation after a violent conflict? Testing different types of contact in a lab-in-the-field experiment,No,,,,,,,FALSE,,FALSE,
Clay McManus,clay,mcmanus,Sequential Search by Committees with Rank-dependent Payoffs: An Experimental Study,No,,,,,,,FALSE,,FALSE,
Clayton Featherstone,clayton,featherstone,“The Adaptive Rationality of Markets”,No,,,,,,,FALSE,,FALSE,
Clémentine Van Effenterre,clémentine,effenterre,"""Informed Choices: Gender Gaps in Career Advice""",No,,,,,,,FALSE,,FALSE,
Coin Corbett,coin,corbett,"""Reconsidering Risk Aversion""",No,,,,,,,FALSE,,FALSE,
Colin Camerer,colin,camerer,,Yes,,,,,,,,,,
Colin Sullivan,colin,sullivan,"""Timing in Dynamic Matching Markets: Theory and Evidence”",No,,,,,,,FALSE,,FALSE,
Collin Weigel,collin,weigel,"Cognitive, Socioemotional and Behavioral Returns to College Quality",No,,,,,,,FALSE,,FALSE,
Connor Magnuson,connor,magnuson,“An Experimental Study of Common Knowledge and Coordination on Communication Networks”,No,,,,,,,FALSE,,FALSE,
Corina Besliu,corina,besliu,Does Empathy Pay?,No,,,,,,,FALSE,,FALSE,
Corina Haita-Falah,corina,haita-falah,Why fairness views are income-dependent,No,,,,,,,FALSE,,FALSE,
Corinne Low,corinne,low,"""Does Media Coverage of Hate-motivated Mass Shootings Generate More Hatred?""",No,,,,,,,FALSE,,FALSE,
Cornelia Straub,cornelia,straub,"""Pricing on two-sided market of ride-sharing platform""",No,,,,,,,FALSE,,FALSE,
Cornelia Strauss,cornelia,strauss,"""Sanctioning the choice to communicate precisely hits cartels""",No,,,,,,,FALSE,,FALSE,
Cornelius Schneider,cornelius,schneider,Experience-dependent induction of low-frequency sleep-like activity (extreme ego depletion) can affect socially relevant choices,No,,,,,,,FALSE,,FALSE,
Cortney Rodet,cortney,rodet,Performance Uncertainty and Optimistic Beliefs,No,,,,,,,FALSE,,FALSE,
Cory Simpkins,cory,simpkins,“On the Fragility of Third-party Punishment: The Context Effect of a Dominated Risky Investment Option”,No,,,,,,,FALSE,,FALSE,
Cristina Cattaneo,cristina,cattaneo,"""Monetary Policy, Fairness Preferences and Unemployment: Experimental Evidence""",No,,,,,,,FALSE,,FALSE,
Cristoph Huber,cristoph,huber,The Effects of Feeling (Un)trusted on Exploration in an Ambidextrous Decision Task,Yes,,,,,,,,,,
Cristophe Heintz,cristophe,heintz,The decreased risk and loss aversion in retail structured investment - experimental evidence,No,,,,,,,FALSE,,FALSE,
Cui XU,cui,xu,A Complete Analysis of Motives for Giving in Dictator Games,No,,,,,,,FALSE,,FALSE,
Curtis Kephart,curtis,kephart,Elicitation of Risk and Uncertainty Preferences,No,,,,,,,FALSE,,FALSE,
Curtis Price,curtis,price,"""Rating government veterinarian quality: experimental evidence from Pakistan""",No,,,,,,,FALSE,,FALSE,
Daehong Min,daehong,min,"""Rebate Timing and Charitable Giving""",No,,,,,,,FALSE,,FALSE,
Daido Kido,daido,kido,,No,,,,,,,FALSE,,FALSE,
Dale Griffin,dale,griffin,"""Asessing the evidence for loss aversion""",Yes,,,,,,,,,,
Dale Stahl,dale,stahl,“Demand for Giving to Multiple Charities: Theory and Experiments”,No,,,,,,,FALSE,,FALSE,
Dan Friedman,dan,friedman,Separating True Preferences from Noise and Endogenous Effort,No,,,,,,,FALSE,,FALSE,
Dan Houser,dan,houser,Individual diversification behavior: An experimental study,Yes,,,,,,,,,,
Dana Sofia Olguin,dana,olguin,,No,,,,,,,FALSE,,FALSE,
Danae Arroyos-Calvera,danae,arroyos-calvera,Testing the Elicitation Procedure of the Minimum Acceptable Probability,Yes,,,,,,,,,,
Danie Burghart,danie,burghart,Other-Regarding Preferences: Consequentialist or Deontological?,No,,,,,,,FALSE,,FALSE,
Daniel Banko,daniel,banko,"""Peer Comparison Information on Effort in an Endogenous Choice Environment"" ",No,,,,,,,FALSE,,FALSE,
Daniel Banko-Ferran,daniel,banko-ferran,Difficult Merits,No,,,,,,,FALSE,,FALSE,
Daniel Benjamin,daniel,benjamin,"""Individual Heterogenity in the Traveler's Dilemma""",Yes,,,,,,,,,,
Daniel Chavez,daniel,chavez,"""Fantasy and Dread: The Demand for Information and the Consumption Utility of the Future""",No,,,,,,,FALSE,,FALSE,
Daniel Chen,daniel,chen,Performance Appraisal Systems and Cooperation in Teams â€“ Evidence from a Lab Experiment in Germany and China,No,,,,,,,FALSE,,FALSE,
Daniel Clowes,daniel,clowes,Risk attitude is heritable,No,,,,,,,FALSE,,FALSE,
Daniel Erdsiek,daniel,erdsiek,,No,,,,,,,FALSE,,FALSE,
Daniel Friedman,daniel,friedman,"""Incentives, Complementarities, and the Sorting of Motivated Agents""",No,,,,,,,FALSE,,FALSE,
Daniel Gomez,daniel,gomez,On the lack of learning in winner-take-all industries - An experiment,No,,,,,,,FALSE,,FALSE,
Daniel Gómez-Vásquez,daniel,gómez-vásquez,,No,,,,,,,FALSE,,FALSE,
Daniel Grosshans,daniel,grosshans,Discount Window Stigma: An Experimental Investigation,No,,,,,,,FALSE,,FALSE,
Daniel Hall,daniel,hall,“Voter Behavior Under Asymmetric Information in Compulsory and Voluntary Voting Systems: An,No,,,,,,,FALSE,,FALSE,
Daniel Harper,daniel,harper,"""Is Money Essential? An Experimental Approach""",No,,,,,,,FALSE,,FALSE,
Daniel Hermosillo,daniel,hermosillo,,No,,,,,,,FALSE,,FALSE,
Daniel Houser,daniel,houser,“Clean up your own mess: An experimental study of moral standards and efficiency”,Yes,,,,,,,,,,
Daniel J. ZIZZO,daniel,zizzo,“Creating Self-Sustained Social Norms through Ostracism and Communication”,Yes,,,,,,,,,,
Daniel John Zizzo,daniel,zizzo,"""When To Visit: Information Acquisition in College Admissions""",Yes,,,,,,,,,,
Daniel Jones,daniel,jones,How Does Sex Ratio Affect Saving?An Experimental Study,No,,,,,,,FALSE,,FALSE,
Daniel Kwiatkowski,daniel,kwiatkowski,,No,,,,,,,FALSE,,FALSE,
Daniel Lee,daniel,lee,The Stability Mechanisms of Carbon Emission Allowance Prices: A Laboratory Experimental Comparison,Yes,,,,,,,,,,
Daniel Martin,daniel,martin,,No,,,,,,,FALSE,,FALSE,
Daniel Navarro-Martinez,daniel,navarro-martinez,"""Production Functions: An Algorithmic Perspective""",No,,,,,,,FALSE,,FALSE,
Daniel NAVARRO-MARTINEZ,daniel,navarro-martinez,The comparative advantage of selfgovernance,No,,,,,,,FALSE,,FALSE,
Daniel Nedelescu,daniel,nedelescu,The Effect of Counterfactual Evaluation and Timing of Feedback on Risk-taking for Others,No,,,,,,,FALSE,,FALSE,
Daniel Parra,daniel,parra,"""Early Child Care and Maternal Labor Supply""",No,,,,,,,FALSE,,FALSE,
Daniel Read,daniel,read,Taming Tech Giants’ Algorithms: what do consumers know (and want)? An analysis of the Amazon Buy-Box case,No,,,,,,,FALSE,,FALSE,
Daniel Römer,daniel,römer,Information Targeting and Coordination: An Experimental Study,No,,,,,,,FALSE,,FALSE,
Daniel Salicath,daniel,salicath,The Use of Algorithmic Support: Are Individuals Averse Towards Algorithms or Rather Overconfident Regarding Their Skills?,No,,,,,,,FALSE,,FALSE,
Daniel Saunders,daniel,saunders,Job Tenure as a Signal of Effort in Labor Markets with Incomplete Contracts,No,,,,,,,FALSE,,FALSE,
Daniel Schunk,daniel,schunk,Active versus Passive Risk Taking: An Experimental Analysis,No,,,,,,,FALSE,,FALSE,
Daniel Stephenson,daniel,stephenson,"""The fairness of long and short ABBA-sequences: A basketball free-throw field experiment""",No,,,,,,,FALSE,,FALSE,
Daniel Wärtenberger,daniel,wärtenberger,Portfolio allocation under the loss limitation,No,,,,,,,FALSE,,FALSE,
Daniel Woods,daniel,woods,Lost Control - Beliefs in Meritocracy in Times of Crises,Yes,,,,,,,,,,
Daniel Zizzo,daniel,zizzo,To listen or not to listen. An experimental study of optional communication,Yes,,,,,,,,,,
Daniela Di Cagno,daniela,cagno,Incentives in labor markets,No,,,,,,,FALSE,,FALSE,
Daniela Glaetzle-Ruetzler,daniela,glaetzle-ruetzler,"""Climate policies under collective risk: Provision of local irrigation systems in the lab and field""",No,,,,,,,FALSE,,FALSE,
Daniela Grieco,daniela,grieco,"""Altruistic Knowledge-Sharing""",No,,,,,,,FALSE,,FALSE,
Daniela Puzzello,daniela,puzzello,"""Does Expectation-Based Loss Aversion Explain Non-Truthful Preference Reporting in Strategy-Proof Matching Mechanisms?""",No,,,,,,,FALSE,,FALSE,
Daniela Ruetzler,daniela,ruetzler,,No,,,,,,,FALSE,,FALSE,
Daniela RUTZLER,daniela,rutzler,Egalitarianism in young children,No,,,,,,,FALSE,,FALSE,
Daniele Caliari,daniele,caliari,"""Redistribute enough or don't redistribute at all: how effectively can public policies reduce destruction (envy)? A cross cultural experiment""",No,,,,,,,FALSE,,FALSE,
Daniele Nosenzo,daniele,nosenzo,"""Self-deception""",No,,,,,,,FALSE,,FALSE,
Danijela Vuletić,danijela,vuletić,Effort choice in dynamic competitive environment,No,,,,,,,FALSE,,FALSE,
Danila Serra,danila,serra,"""How to make a criminal: Experiments on anti-social behavior""",No,,,,,,,FALSE,,FALSE,
Danila SERRA,danila,serra,"""Bottleneck Congestion and Modal Split: An Experimental Study”",No,,,,,,,FALSE,,FALSE,
Daphne Chang,daphne,chang,"""Complexity and Expectation Formation""",No,,,,,,,FALSE,,FALSE,
Dario Trujano-Ochoa,dario,trujano-ochoa,,No,,,,,,,FALSE,,FALSE,
Darryl Seale,darryl,seale,"""Algorithmic and Human Collusion: Experimental Evidence""",No,,,,,,,FALSE,,FALSE,
Darya Korlyakova,darya,korlyakova,"""In Your Name! The Effect of Intermediaries on Discrimination""",No,,,,,,,FALSE,,FALSE,
Daryl Fairweather,daryl,fairweather,Incentives and Social Preferences in a Traditional Labor Contract: Evidence from Rice Planting Experiments in the Philippines,No,,,,,,,FALSE,,FALSE,
Dave Hales,dave,hales,,No,,,,,,,FALSE,,FALSE,
Davi Reiley,davi,reiley,“Persuasion and Strategic Thinking”,Yes,,,,,,,,,,
David Albrecht,david,albrecht,Moral Preferences over Taboo Trade-offs in the Time of Coronavirus,No,,,,,,,FALSE,,FALSE,
David Almog,david,almog,The Linkage between Financial Performance and Environmental Sustainability in the Presence of Credit Constraints: Evidence from Indian Manufacturing Firms,No,,,,,,,FALSE,,FALSE,
David Bilén,david,bilén,"""Bridging America's Divide on Abortion, Guns and Immigration: The Effect of Sharing Rewards""",No,,,,,,,FALSE,,FALSE,
David Bruner,david,bruner,"Should I Gamble or Not? On the Relationship between Decision-Making Under Uncertainty, Brain Function, and Age",No,,,,,,,FALSE,,FALSE,
David Butler,david,butler,"""Strategic thinking in public goods games with teams""",No,,,,,,,FALSE,,FALSE,
David Clingingsmith,david,clingingsmith,“Nudging and Welfare: Theory and Two Experiments”,No,,,,,,,FALSE,,FALSE,
David Cooper,david,cooper,"""Reducing Algorithm Aversion Through Experience""",No,,,,,,,FALSE,,FALSE,
David Dickinson,david,dickinson,,No,,,,,,,FALSE,,FALSE,
David DICKINSON,david,dickinson,An experimental investigation of buyer determined procurement auctions,No,,,,,,,FALSE,,FALSE,
David Eil,david,eil,"""The Effect of Third Party Intervention in the Investment Game""",No,,,,,,,FALSE,,FALSE,
David Freeman,david,freeman,Making Social Cost Salient: A Natural Field Experiment,No,,,,,,,FALSE,,FALSE,
David Gill,david,gill,"""Cognitive skills, strategic sophistication, and life outcomes""",No,,,,,,,FALSE,,FALSE,
David Goldbaum,david,goldbaum,"""Social Identity and Team Performance""",No,,,,,,,FALSE,,FALSE,
David Hagmann,david,hagmann,Free to Choose: Testing the Pure Motivation Effect of Autonomous Choice,No,,,,,,,FALSE,,FALSE,
David Hall,david,hall,"""Trust over Risk: Risk taking under punishment""",No,,,,,,,FALSE,,FALSE,
David Huber,david,huber,"""Can Communication Mitigate Strategic Delays in Innovation Adoption?""",No,,,,,,,FALSE,,FALSE,
David Huffman,david,huffman,Network formation: An econometric analysis of experimental data,No,,,,,,,FALSE,,FALSE,
David Hugh-Jones,david,hugh-jones,Market Experience and Market Efficiency - Evidence from Experiments With Financial Professionals,No,,,,,,,FALSE,,FALSE,
David Jimenez-Gomez,david,jimenez-gomez,"""Do shared protocols increase coordination among physicians? An experimental investigation""",Yes,,,,,,,,,,
David Johnson,david,johnson,“Uninformed Giving: Experiment”,No,,,,,,,FALSE,,FALSE,
David Kingsley,david,kingsley,"""How do Firm Decision-Makers Form Preferences About Fiscal Policy? Evidence from a Large-Scale Survey Experiment""",No,,,,,,,FALSE,,FALSE,
David Klinowski,david,klinowski,"""Rabbits and Study Habits: A Field Experiment on Pacesetters and Student Effort""",No,,,,,,,FALSE,,FALSE,
