,Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
164,Chi Cui,chi,cui,"""Exploring the demand for fertility treatments: a revealed-preference experiment""",No,,NO PAPER FOUND,,,,,False,,False,
165,Chi Sheh,chi,sheh,“Effects of Policy Shocks on Bribery: Experimental Evidence from the US and Pakistan”,No,,NO PAPER FOUND,,,,,False,,False,
166,Chi Trieu,chi,trieu,“Secondary Markets and the Opioid Crisis: Evidence from a Laboratory Experiment”,No,,NO PAPER FOUND,,,,,False,,False,
167,Chia-Lin Lee,chia-lin,lee,"Dictates, Ultimatums and Spousal Empowerment in Rural India",No,,NO PAPER FOUND,,,,,False,,False,
168,Chia-Yang Lin,chia-yang,lin,“Conscience Accounting”,No,,NO PAPER FOUND,,,,,False,,False,
169,Chiara Aina,chiara,aina,"""Contingent Belief Updating""",No,,https://www.sciencedirect.com/science/article/pii/S089982562030052X,,,,,False,,False,
170,Chiara Nardi,chiara,nardi,"""Multilateralism Paradox of Network in Bargaining""",No,,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecca.12209,,,,,False,,False,
171,Chiara Rapallini,chiara,rapallini,Dynamic VCM with Stock Accumulation,No,,NO PAPER FOUND,,,,,False,,False,
172,Chien-Yu Lai,chien-yu,lai,"""Estimating repugnance toward price gouging with incentivized consumer reports""",No,,NO PAPER FOUND,,,,,False,,False,
173,ChienHsun Lin,chienhsun,lin,"""Present Bias in Choices over Food and Money: Evidence from an Artefactual Field Experiment""",No,,NO PAPER FOUND,,,,,False,,False,
174,Chikako Yamauchi,chikako,yamauchi,Does Reputation Make Cognitive Biases Disappear? The Linda Problem on Facebook and Mechanical Turk,No,,https://academic.oup.com/jae/article-abstract/27/2/227/4584300,,,,,False,,False,
175,Chinn-Ping Fan,chinn-ping,fan,Tiered Housing Allocation: An Experimental Analysis,No,,https://www.sciencedirect.com/science/article/pii/S0167268199000724,,,,,False,,False,
176,Chris Anderson,chris,anderson,People are Not Gambles: Dissociable Systems for Strategic Uncertainty and Risk in the Brain,No,,"NO LINK FOUND, PAPER: There’s no place like home: cultural influences on international diversification by institutional investors",,,,,False,,False,
177,Chris Wilson,chris,wilson,The Effects of Group Identity on Reporting Norm Deviants,No,,NO PAPER FOUND,,,,,False,,False,
178,Christian Alcocer,christian,alcocer,How to Design the Ask? Funding Units vs. Giving Money,No,,https://www.emerald.com/insight/content/doi/10.1108/JEFAS-06-2019-0090/full/html,,,,,False,,False,
179,Christian Biener,christian,biener,Revealed Heterogeneity in Risk Preference,No,,https://www.sciencedirect.com/science/article/pii/S0014292117301836,,,,,False,,False,
180,Christian Hoenow,christian,hoenow,"""Boosting Recycling Behaviour Among Urban-Households in Peru -- A Field Experiment on the Role of Social Norms and Beliefs""",No,,NO PAPER FOUND,,,,,False,,False,
181,Christian Koch,christian,koch,"Against the Odds! The Tradeo"" Between Risk and Incentives is Alive and Well",No,,NO PAPER FOUND,,,,,False,,False,
182,Christian Koenig genannt Kersting,christian,kersting,"""Increasing the external validity of social preference games by reducing measurement error""",No,,NO PAPER FOUND,,,,,False,,False,
183,Christian König Genannt Kersting,christian,kersting,Preferences for Redistribution and Social Mobility: The Role of Motivated Beliefs,No,,NO PAPER FOUND,,,,,False,,False,
184,Christian König-Kersting,christian,könig-kersting,"""The St. Petersburg Gamble Revisited: Where is the Paradox?""",No,,NO PAPER FOUND,,,,,False,,False,
185,Christian Rojas,christian,rojas,"Emotions, Ambiguity and Advice among Small-scale Investors in China",No,,NO PAPER FOUND,,,,,False,,False,
186,Christian Zankiewicz,christian,zankiewicz,“What Happens to Risk Preferences when Interest Rates Fall? An Experimental Study”,No,,NO PAPER FOUND,,,,,False,,False,
187,Christian Zihlmann,christian,zihlmann,"""The effect of tax avoidance in voting decisions: a real-effort task experiment""",No,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3788710,,,,,False,,False,
188,Christiane Schwieren,christiane,schwieren,“Customer Discrimination and Quality Signals: A Field Experiment with Healthcare Shoppers”,Yes,,https://journals.sagepub.com/doi/abs/10.1177/0146167201272009,,,,,,,,
189,Christiane SCHWIEREN,christiane,schwieren,“Are Women More Context-dependent than Men? Gender Effects in Multiple Games”,Yes,,https://journals.sagepub.com/doi/abs/10.1177/0146167201272009,,,,,,,,
190,Christina Gravert,christina,gravert,"""Borrowing in A Crisis: An Experimental Study of Asset-Backed Borrowing in a Financial Downturn""",No,,NO PAPER FOUND,,,,,False,,False,
191,Christina Strobel,christina,strobel,Who Benefits from Nudges for Exam Preparation? An Experiment,No,,NO PAPER FOUND,,,,,False,,False,
192,Christine BINZEL,christine,binzel,Road pricing and access burden avoidance: Evidence from an experiment with braess's Paradox,No,,NO PAPER FOUND,,,,,False,,False,
193,Christine Exley,christine,exley,"""Causes of inequality and the choice of enforcement in a voluntary contributions mechanism""",Yes,,https://academic.oup.com/qje/article-abstract/137/3/1345/6513425,,,,,,,,
194,Christine Grimm,christine,grimm,"""Making Better Decisions in Financial Market- Human Forecaster vs. Algorithmic Forecaster""",No,,NO PAPER FOUND,,,,,False,,False,
195,Christine Harbring,christine,harbring,"""Lowering the Playing Field: Discrimination through Contrast Effects""",No,,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.1100.1296,,,,,False,,False,
196,Christine HARBRING,christine,harbring,“Epistemic Conditions and Social Preferences in Trust Games”,No,,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.1100.1296,,,,,False,,False,
197,Christoph Becker,christoph,becker,Does Communication Help to Coordinate on Early Adoption of New Technologies?,No,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3725301,,,,,False,,True,
198,Christoph Brunner,christoph,brunner,Self Selection and Market Power in Risk Sharing Contracts,No,,NO PAPER FOUND,,,,,False,,False,
199,Christoph Buehren,christoph,buehren,"""Social Exclusion""",No,,https://www.sciencedirect.com/science/article/pii/S0165489616300804,,,,,False,,False,
200,Christoph Drobner,christoph,drobner,,No,,NO PAPER FOUND,,,,,False,,False,
201,Christoph Huber,christoph,huber,Strategic Ignorance and Privacy—Would entertaining content trigger information avoidance?,Yes,,https://academic.oup.com/rfs/article-abstract/33/6/2659/5555881,,,,,,,,
202,Christoph Siemroth,christoph,siemroth,Contribution and Punishment Norms in Public Good Games Under Income Inequality from Nominal Choice,No,,https://direct.mit.edu/rest/article-abstract/99/4/577/58381,,,,,False,,False,
203,Christopher Anderson,christopher,anderson,“An Experimental Analysis of the Non-constant-sum Colonel Blotto Game.”,No,,"NO LINK FOUND, PAPER: There’s no place like home: cultural influences on international diversification by institutional investors",,,,,False,,False,
204,Christopher Brown,christopher,brown,Under pressure: the impact of women’s mental load on labor productivity and occupational choices. Evidence from Kenya,Yes,,https://myweb.fsu.edu/lboosey/network_contests_experimental.pdf,,,,,,,,
205,Chung K. KIM,chung,kim,Traders’ Expectations in Asset Markets: Experimental Evidence,No,,NO PAPER FOUND,,,,,False,,False,
206,Chung-Ching Tai,chung-ching,tai,On the Validity of (Cost-Saving) Randomization Methods in Dictator-Game Experiments: A Systematic Test,No,,https://www.worldscientific.com/doi/abs/10.1142/S021952590300089X,,,,,False,,False,
207,Chung-Yoon Choi,chung-yoon,choi,,Yes,,NO PAPER FOUND,,,,,,,,
208,Ciril Bosch Rosa,ciril,rosa,"""(Un)Willing to lead? Men, Women and the Leadership Gap""",No,,https://link.springer.com/article/10.1007/s10683-017-9529-0,,,,,False,,False,
209,Claire Mouminoux,claire,mouminoux,How to Motivate Students to Reduce Dormitory Electricity Use: A Field Experiment,No,,NO PAPER FOUND,,,,,False,,False,
210,Claire Rimbaud,claire,rimbaud,"""How to make a criminal: Antisocial Behavior after negative shocks""",No,,NO PAPER FOUND,,,,,False,,False,
211,Claudia Biniossek,claudia,biniossek,"Immigration, Poverty, and Demand for Redistribution: Causal Evidence from a Survey Experiment",No,,NO PAPER FOUND,,,,,False,,False,
212,Claudia Landeo,claudia,landeo,Shocks and Relationships,No,,NO PAPER FOUND,,,,,False,,False,
213,Claudia Zoller,claudia,zoller,Can intergroup contact increase cooperation after a violent conflict? Testing different types of contact in a lab-in-the-field experiment,No,,https://www.sciencedirect.com/science/article/pii/S001429211830165X,,,,,False,,False,
214,Clay McManus,clay,mcmanus,Sequential Search by Committees with Rank-dependent Payoffs: An Experimental Study,No,,NO PAPER FOUND,,,,,False,,False,
215,Clayton Featherstone,clayton,featherstone,“The Adaptive Rationality of Markets”,No,,https://www.sciencedirect.com/science/article/pii/S0899825616301208,,,,,False,,False,
216,Clémentine Van Effenterre,clémentine,effenterre,"""Informed Choices: Gender Gaps in Career Advice""",No,,https://academic.oup.com/ej/article-abstract/133/653/1773/7055938,,,,,False,,False,
217,Coin Corbett,coin,corbett,"""Reconsidering Risk Aversion""",No,,NO PAPER FOUND,,,,,False,,False,
218,Colin Camerer,colin,camerer,,Yes,,https://books.google.com/books?hl=en&lr=&id=cr_Xg7cRvdcC&oi=fnd&pg=PP1&dq=info:fM5ZyWIxoEEJ:scholar.google.com&ots=EpRfOtay1-&sig=QxoVHfWsILk6brHvvpeIJZw0iK8,,,,,,,,
219,Colin Sullivan,colin,sullivan,"""Timing in Dynamic Matching Markets: Theory and Evidence”",No,,https://www.aeaweb.org/articles?id=10.1257/aer.20181714,,,,,False,,False,
220,Collin Weigel,collin,weigel,"Cognitive, Socioemotional and Behavioral Returns to College Quality",No,,NO PAPER FOUND,,,,,False,,False,
221,Connor Magnuson,connor,magnuson,“An Experimental Study of Common Knowledge and Coordination on Communication Networks”,No,,NO PAPER FOUND,,,,,False,,False,
222,Corina Besliu,corina,besliu,Does Empathy Pay?,No,,NO PAPER FOUND,,,,,False,,False,
223,Corina Haita-Falah,corina,haita-falah,Why fairness views are income-dependent,No,,NO PAPER FOUND,,,,,False,,False,
224,Corinne Low,corinne,low,"""Does Media Coverage of Hate-motivated Mass Shootings Generate More Hatred?""",No,,https://www.aeaweb.org/articles?id=10.1257/aer.20181714,,,,,False,,False,
225,Cornelia Straub,cornelia,straub,"""Pricing on two-sided market of ride-sharing platform""",No,,NO PAPER FOUND,,,,,False,,False,
226,Cornelia Strauss,cornelia,strauss,"""Sanctioning the choice to communicate precisely hits cartels""",No,,NO PAPER FOUND,,,,,False,,False,
227,Cornelius Schneider,cornelius,schneider,Experience-dependent induction of low-frequency sleep-like activity (extreme ego depletion) can affect socially relevant choices,No,,NO PAPER FOUND,,,,,False,,False,
228,Cortney Rodet,cortney,rodet,Performance Uncertainty and Optimistic Beliefs,No,,https://onlinelibrary.wiley.com/doi/abs/10.1002/mde.3318,,,,,False,,False,
229,Cory Simpkins,cory,simpkins,“On the Fragility of Third-party Punishment: The Context Effect of a Dominated Risky Investment Option”,No,,NO PAPER FOUND,,,,,False,,False,
230,Cristina Cattaneo,cristina,cattaneo,"""Monetary Policy, Fairness Preferences and Unemployment: Experimental Evidence""",No,,https://www.tandfonline.com/doi/abs/10.1080/00438243.1993.9980226,,,,,False,,False,
231,Cristoph Huber,cristoph,huber,The Effects of Feeling (Un)trusted on Exploration in an Ambidextrous Decision Task,Yes,,https://academic.oup.com/rfs/article-abstract/33/6/2659/5555881,,,,,,,,
232,Cristophe Heintz,cristophe,heintz,The decreased risk and loss aversion in retail structured investment - experimental evidence,No,,NO PAPER FOUND,,,,,False,,False,
233,Cui XU,cui,xu,A Complete Analysis of Motives for Giving in Dictator Games,No,,https://www.sciencedirect.com/science/article/pii/S105381190901235X,,,,,False,,False,
234,Curtis Kephart,curtis,kephart,Elicitation of Risk and Uncertainty Preferences,No,,https://link.springer.com/article/10.1007/s10683-013-9387-3,,,,,False,,False,
235,Curtis Price,curtis,price,"""Rating government veterinarian quality: experimental evidence from Pakistan""",No,,https://www.sciencedirect.com/science/article/pii/S016517651100053X,,,,,False,,False,
236,Daehong Min,daehong,min,"""Rebate Timing and Charitable Giving""",No,,NO PAPER FOUND,,,,,False,,False,
237,Daido Kido,daido,kido,,No,,NO PAPER FOUND,,,,,False,,False,
238,Dale Griffin,dale,griffin,"""Asessing the evidence for loss aversion""",Yes,,NO PAPER FOUND,,,,,,,,
239,Dale Stahl,dale,stahl,“Demand for Giving to Multiple Charities: Theory and Experiments”,No,,https://www.sciencedirect.com/science/article/pii/S0899825685710317,,,,,False,,False,
240,Dan Friedman,dan,friedman,Separating True Preferences from Noise and Endogenous Effort,No,,NO PAPER FOUND,,,,,False,,False,
241,Dan Houser,dan,houser,Individual diversification behavior: An experimental study,Yes,,"NO LINK FOUND, PAPER: Scrapping the combustion engine: the metals critical to success of EVs",,,,,,,,
242,Dana Sofia Olguin,dana,olguin,,No,,NO PAPER FOUND,,,,,False,,False,
243,Danae Arroyos-Calvera,danae,arroyos-calvera,Testing the Elicitation Procedure of the Minimum Acceptable Probability,Yes,,https://www.sciencedirect.com/science/article/pii/S0277953619304708,,,,,,,,
244,Danie Burghart,danie,burghart,Other-Regarding Preferences: Consequentialist or Deontological?,No,,NO PAPER FOUND,,,,,False,,False,
245,Daniel Banko,daniel,banko,"""Peer Comparison Information on Effort in an Endogenous Choice Environment"" ",No,,"NO LINK FOUND, PAPER: Trends in foreign acquisitions and greenfield investments in the EU. July-September 2021",,,,,False,,False,
246,Daniel Banko-Ferran,daniel,banko-ferran,Difficult Merits,No,,NO PAPER FOUND,,,,,False,,False,
247,Daniel Benjamin,daniel,benjamin,"""Individual Heterogenity in the Traveler's Dilemma""",Yes,,NO PAPER FOUND,,,,,,,,
248,Daniel Chavez,daniel,chavez,"""Fantasy and Dread: The Demand for Information and the Consumption Utility of the Future""",No,,NO PAPER FOUND,,,,,False,,False,
249,Daniel Chen,daniel,chen,Performance Appraisal Systems and Cooperation in Teams â€“ Evidence from a Lab Experiment in Germany and China,No,,"NO LINK FOUND, PAPER: Update on indicators outlined in the last report",,,,,False,,False,
250,Daniel Clowes,daniel,clowes,Risk attitude is heritable,No,,NO PAPER FOUND,,,,,False,,False,
251,Daniel Erdsiek,daniel,erdsiek,,No,,,,,,,False,,False,
252,Daniel Friedman,daniel,friedman,"""Incentives, Complementarities, and the Sorting of Motivated Agents""",No,,,,,,,False,,False,
253,Daniel Gomez,daniel,gomez,On the lack of learning in winner-take-all industries - An experiment,No,,,,,,,False,,False,
254,Daniel Gómez-Vásquez,daniel,gómez-vásquez,,No,,,,,,,False,,False,
255,Daniel Grosshans,daniel,grosshans,Discount Window Stigma: An Experimental Investigation,No,,,,,,,False,,False,
256,Daniel Hall,daniel,hall,“Voter Behavior Under Asymmetric Information in Compulsory and Voluntary Voting Systems: An,No,,,,,,,False,,False,
257,Daniel Harper,daniel,harper,"""Is Money Essential? An Experimental Approach""",No,,,,,,,False,,False,
258,Daniel Hermosillo,daniel,hermosillo,,No,,,,,,,False,,False,
259,Daniel Houser,daniel,houser,“Clean up your own mess: An experimental study of moral standards and efficiency”,Yes,,,,,,,,,,
260,Daniel J. ZIZZO,daniel,zizzo,“Creating Self-Sustained Social Norms through Ostracism and Communication”,Yes,,,,,,,,,,
261,Daniel John Zizzo,daniel,zizzo,"""When To Visit: Information Acquisition in College Admissions""",Yes,,,,,,,,,,
262,Daniel Jones,daniel,jones,How Does Sex Ratio Affect Saving?An Experimental Study,No,,,,,,,False,,False,
263,Daniel Kwiatkowski,daniel,kwiatkowski,,No,,,,,,,False,,False,
264,Daniel Lee,daniel,lee,The Stability Mechanisms of Carbon Emission Allowance Prices: A Laboratory Experimental Comparison,Yes,,,,,,,,,,
265,Daniel Martin,daniel,martin,,No,,,,,,,False,,False,
266,Daniel Navarro-Martinez,daniel,navarro-martinez,"""Production Functions: An Algorithmic Perspective""",No,,,,,,,False,,False,
267,Daniel NAVARRO-MARTINEZ,daniel,navarro-martinez,The comparative advantage of selfgovernance,No,,,,,,,False,,False,
268,Daniel Nedelescu,daniel,nedelescu,The Effect of Counterfactual Evaluation and Timing of Feedback on Risk-taking for Others,No,,,,,,,False,,False,
269,Daniel Parra,daniel,parra,"""Early Child Care and Maternal Labor Supply""",No,,,,,,,False,,False,
270,Daniel Read,daniel,read,Taming Tech Giants’ Algorithms: what do consumers know (and want)? An analysis of the Amazon Buy-Box case,No,,,,,,,False,,False,
271,Daniel Römer,daniel,römer,Information Targeting and Coordination: An Experimental Study,No,,,,,,,False,,False,
272,Daniel Salicath,daniel,salicath,The Use of Algorithmic Support: Are Individuals Averse Towards Algorithms or Rather Overconfident Regarding Their Skills?,No,,,,,,,False,,False,
273,Daniel Saunders,daniel,saunders,Job Tenure as a Signal of Effort in Labor Markets with Incomplete Contracts,No,,,,,,,False,,False,
274,Daniel Schunk,daniel,schunk,Active versus Passive Risk Taking: An Experimental Analysis,No,,,,,,,False,,False,
275,Daniel Stephenson,daniel,stephenson,"""The fairness of long and short ABBA-sequences: A basketball free-throw field experiment""",No,,,,,,,False,,False,
276,Daniel Wärtenberger,daniel,wärtenberger,Portfolio allocation under the loss limitation,No,,,,,,,False,,False,
277,Daniel Woods,daniel,woods,Lost Control - Beliefs in Meritocracy in Times of Crises,Yes,,,,,,,,,,
